address,area,house_direction,balcony_direction,floors,bedrooms,bathrooms,legal_status,furniture_state,price,year,property_type,property_feature,lat,lng
"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",78.7,Đông Nam,,,,,Have certificate,,5.5,2024,"Nhà mặt phố, mặt tiền",Unknown,10.81566593,106.6030677
"Đường Trương Vĩnh Ký, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",72.0,,,2.0,4.0,4.0,Have certificate,Full,6.7,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.79386933,106.6336604
"Dự án PiCity High Park, Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",200.0,,,2.0,3.0,3.0,,,10.0,2024,Unknown,Unknown,10.8659215,106.665642
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",100.0,Nam,Nam,3.0,4.0,4.0,Have certificate,Full,8.49,2024,"Nhà ngõ, hẻm",Hẻm xe hơi,10.8001827,106.7950148
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",132.0,,,2.0,3.0,2.0,,,7.0,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.7470675,106.7289502
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",102.0,,,1.0,2.0,1.0,Have certificate,,6.8,2024,"Nhà ngõ, hẻm",Hẻm nhỏ,10.7269665,106.7334285
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",101.0,,,3.0,4.0,3.0,Have certificate,,6.6,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.7470675,106.7289502
"Đường Số 8, Phường 11, Gò Vấp, Hồ Chí Minh",81.0,Bắc,Bắc,1.0,1.0,1.0,,,5.8,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.84264335,106.6621436
"Dự án Mega Ruby, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",75.0,,,3.0,3.0,3.0,Have certificate,Full,7.7,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.7987906,106.7946286
"Đường Tân Kỳ Tân Quý, Phường Tân Quý, Tân Phú, Hồ Chí Minh",62.0,,,4.0,6.0,4.0,Have certificate,,6.9,2024,Unknown,Unknown,10.7992818,106.6188852
